seed,ecg,resp,eda
0,0.13412735102354267,0.08852202505507788,0.015773718634293988
1,0.1252302046768177,0.09874047581044935,0.014805742790920269
2,0.14147823556065756,0.09669773372729414,0.01284686070499079
3,0.13293250776387214,0.08478631786272899,0.010169187892898458
4,0.13267810824652804,0.09618885991533477,0.015445781678307636
5,0.13481811073687816,0.08662624589878459,0.012960159563965177
6,0.12749281744998117,0.08869204801395389,0.005389314377246619
7,0.13934733677800587,0.07346485059236268,0.0185180135598241
8,0.13425552246635858,0.09359141155433887,0.018494685444013885
9,0.1351212096203931,0.09294418159614731,0.008828174374406188
